alt_text_missing,link_empty,h1_missing,heading_empty,heading_skipped,button_empty,lang_missing,region_missing,table_layout,noscript,alt_suspicious,event_handler,text_justified,text_small,heading_possible,internal_link_broken,link_redundant,alt_duplicate,link_suspicious,label_missing,title_redundant,alt_redundant,contrast,color_failed,text_size-failed,file
9, 662, 0, 138, 0, 0, 0, 1, 0, 1, 233, 1, 0, 0, 0, 0, 404, 30, 276, 1, 635, 33, 0, 0, 1, 'n-tv.html'
0, 61, 0, 73, 0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 19, 0, 44, 0, 65, 0, 0, 0, 0, 'ndr.html'
2, 58, 0, 0, 0, 0, 0, 1, 0, 1, 12, 1, 0, 0, 0, 0, 4, 3, 39, 1, 37, 11, 0, 0, 0, 'netdoktor.html'
0, 0, 0, 6, 0, 10, 0, 2, 0, 0, 11, 0, 0, 0, 0, 0, 2, 10, 1, 0, 0, 11, 0, 0, 0, 'netflix.html'
22, 32, 0, 0, 0, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 2, 0, 95, 1, 2, 0, 0, 0, 0, 'otto.html'
0, 6, 0, 3, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 0, 0, 0, 'paypal.html'
0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 'pornhub.html'
0, 235, 0, 152, 2, 17, 0, 1, 0, 1, 42, 0, 0, 0, 0, 0, 8, 162, 157, 0, 0, 42, 0, 0, 0, 'rnd.html'
3, 244, 1, 205, 1, 25, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 241, 0, 10, 0, 0, 6, 0, 'rtl.html'
7, 157, 0, 6, 0, 66, 0, 1, 0, 0, 3, 4, 0, 0, 0, 0, 7, 60, 75, 0, 1, 0, 0, 0, 0, 'samsung.html'
272, 577, 1, 136, 1, 150, 0, 0, 0, 1, 35, 0, 0, 0, 0, 1, 138, 16, 147, 0, 607, 17, 0, 19, 0, 'spiegel.html'
3, 104, 1, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 3, 0, 0, 2, 2, 33, 0, 0, 0, 3, 0, 0, 'sport1.html'
0, 46, 0, 7, 1, 2, 0, 1, 0, 1, 27, 0, 0, 0, 0, 0, 3, 12, 15, 1, 15, 16, 0, 2, 0, 'stackoverflow.html'
0, 238, 0, 182, 0, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 0, 2, 0, 161, 0, 163, 4, 132, 0, 0, 'stern.html'
0, 231, 1, 208, 1, 19, 0, 0, 0, 1, 163, 0, 0, 0, 0, 0, 1, 161, 154, 0, 0, 163, 0, 0, 0, 'sueddeutsche.html'
0, 207, 0, 464, 0, 9, 0, 1, 0, 1, 112, 0, 0, 0, 0, 0, 72, 197, 150, 3, 216, 91, 0, 4, 0, 't-online.html'
0, 231, 0, 65, 0, 1, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 4, 102, 114, 0, 1, 0, 40, 0, 0, 'tagesschau.html'
0, 38, 0, 17, 0, 6, 0, 1, 0, 1, 17, 0, 0, 0, 0, 0, 3, 15, 3, 0, 0, 13, 1, 0, 0, 'teads.html'
0, 176, 0, 0, 0, 1, 0, 0, 0, 1, 4, 0, 0, 0, 0, 1, 22, 38, 25, 0, 161, 0, 0, 0, 0, 'telekom.html'
0, 16, 1, 3, 2, 10, 0, 3, 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 2, 0, 0, 4, 0, 8, 0, 'tiktok.html'
3, 229, 0, 0, 0, 0, 0, 1, 0, 1, 10, 24, 0, 0, 0, 0, 18, 1, 52, 1, 140, 0, 0, 0, 0, 'tvspielfilm.html'
0, 0, 1, 0, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'twitch.html'
0, 0, 0, 0, 0, 1, 0, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 'twitter.html'
3, 217, 0, 117, 0, 0, 0, 1, 0, 1, 10, 0, 0, 0, 0, 0, 28, 7, 156, 0, 166, 7, 0, 0, 0, 'tz.html'
0, 124, 1, 4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 20, 2, 0, 0, 0, 0, 0, 'vodafone.html'
0, 24, 0, 0, 0, 3, 0, 0, 0, 1, 20, 0, 0, 0, 0, 8, 0, 19, 20, 1, 4, 20, 0, 0, 0, 'weather.html'
0, 55, 0, 2, 0, 1, 1, 1, 0, 1, 14, 0, 0, 0, 0, 0, 0, 5, 28, 0, 0, 9, 0, 0, 0, 'web.html'
0, 67, 0, 1, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 30, 0, 4, 1, 0, 0, 0, 'wetter.html'
1, 58, 0, 5, 0, 0, 1, 3, 0, 1, 5, 0, 0, 0, 0, 0, 7, 5, 29, 2, 32, 5, 0, 0, 0, 'wetteronline.html'
0, 71, 0, 4, 1, 4, 0, 1, 0, 1, 24, 0, 0, 0, 0, 0, 6, 25, 10, 0, 0, 24, 44, 33, 0, 'whatsapp.html'
0, 46, 0, 6, 0, 2, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 0, 13, 0, 0, 0, 0, 'wikipedia.html'
0, 149, 0, 7, 0, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 0, 39, 0, 56, 0, 0, 0, 0, 'wunderweib.html'
1, 163, 0, 1, 1, 3, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 94, 2, 32, 2, 51, 0, 0, 19, 0, 'xhamster.html'
48, 163, 1, 0, 0, 9, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 38, 0, 28, 0, 50, 0, 0, 0, 0, 'xvideos.html'
1, 101, 0, 40, 0, 8, 0, 2, 0, 1, 56, 0, 0, 0, 0, 0, 41, 53, 11, 0, 13, 56, 0, 0, 0, 'yahoo.html'
0, 139, 0, 4, 0, 3, 0, 1, 0, 0, 38, 133, 0, 0, 0, 0, 1, 0, 60, 0, 41, 0, 0, 0, 0, 'youporn.html'
0, 2, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 'youtube.html'
2, 358, 0, 146, 0, 477, 0, 0, 0, 1, 37, 0, 0, 0, 0, 0, 95, 60, 37, 6, 196, 3, 0, 0, 0, 'zdf.html'
0, 362, 0, 152, 0, 115, 0, 0, 0, 1, 40, 0, 0, 0, 0, 0, 122, 34, 205, 3, 106, 40, 0, 0, 0, 'zeit.html'
