PageTitle,No.ErrorTypes,ErrorsTotal,ErrorDetails
amazon.html.json,6,6,bypass, 1, html-has-lang, 1, label, 1, landmark-one-main, 1, page-has-heading-one, 1, region, 1
bahn.html.json,9,19,autocomplete-valid, 3, button-name, 1, duplicate-id-aria, 1, heading-order, 1, label, 4, link-name, 5, listitem, 2, radiogroup, 1, region, 1
bild.html.json,6,50,color-contrast, 6, heading-order, 1, html-has-lang, 1, image-alt, 1, image-redundant-alt, 1, link-name, 40
booking.html.json,6,12,aria-allowed-role, 6, frame-title, 1, label, 2, landmark-no-duplicate-banner, 1, list, 1, region, 1
br.html.json,7,9,empty-heading, 2, label-title-only, 1, label, 1, landmark-one-main, 1, link-name, 2, region, 1, skip-link, 1
bunte.html.json,3,6,link-name, 4, page-has-heading-one, 1, region, 1
chaturbate.html.json,12,45,aria-allowed-role, 1, checkboxgroup, 1, color-contrast, 27, definition-list, 5, empty-heading, 1, image-alt, 2, label, 1, landmark-one-main, 1, link-name, 1, list, 3, page-has-heading-one, 1, region, 1
check24.html.json,9,49,duplicate-id, 3, frame-title, 2, heading-order, 3, image-alt, 28, label, 1, landmark-one-main, 1, link-name, 4, region, 1, skip-link, 6
chefkoch.html.json,6,22,aria-required-children, 1, autocomplete-valid, 1, duplicate-id-active, 1, image-redundant-alt, 16, label, 2, page-has-heading-one, 1
chip.html.json,11,181,aria-allowed-role, 6, aria-required-children, 1, autocomplete-valid, 1, color-contrast, 143, duplicate-id, 6, frame-title, 1, image-redundant-alt, 9, label, 3, page-has-heading-one, 1, region, 1, tabindex, 9
derwesten.html.json,8,20,aria-allowed-role, 2, aria-valid-attr-value, 1, button-name, 3, duplicate-id-aria, 3, duplicate-id, 3, link-name, 6, page-has-heading-one, 1, region, 1
dhl.html.json,13,33,aria-required-children, 1, button-name, 6, duplicate-id-active, 1, empty-heading, 7, heading-order, 1, label, 4, landmark-one-main, 1, link-name, 3, listitem, 2, meta-viewport, 1, object-alt, 3, region, 1, skip-link, 2
ebay.html.json,5,9,aria-allowed-attr, 1, aria-allowed-role, 3, aria-valid-attr, 3, label, 1, region, 1
facebook.html.json,3,43,color-contrast, 41, page-has-heading-one, 1, region, 1
fandom.html.json,7,47,button-name, 2, color-contrast, 32, label, 1, landmark-one-main, 1, link-name, 9, page-has-heading-one, 1, region, 1
faz.html.json,11,205,aria-allowed-role, 2, button-name, 11, color-contrast, 148, frame-title, 1, image-alt, 27, image-redundant-alt, 1, label, 1, landmark-one-main, 1, link-name, 11, region, 1, skip-link, 1
finanzen.html.json,7,11,button-name, 1, color-contrast, 3, label, 1, landmark-one-main, 1, link-name, 3, page-has-heading-one, 1, region, 1
focus.html.json,12,37,button-name, 2, color-contrast, 7, duplicate-id, 3, empty-heading, 2, frame-title, 1, image-alt, 2, image-redundant-alt, 12, label, 3, link-name, 1, page-has-heading-one, 1, region, 1, skip-link, 2
fr.html.json,5,15,aria-allowed-role, 3, empty-heading, 2, frame-title, 2, heading-order, 6, link-name, 2
gala.html.json,4,4,color-contrast, 1, heading-order, 1, landmark-no-duplicate-banner, 1, region, 1
giga.html.json,5,6,label, 1, landmark-one-main, 1, link-name, 2, page-has-heading-one, 1, region, 1
github.html.json,4,16,aria-allowed-role, 4, autocomplete-valid, 1, color-contrast, 10, label, 1
gmx.html.json,8,36,button-name, 2, color-contrast, 21, heading-order, 1, html-has-lang, 1, label, 3, landmark-one-main, 1, link-name, 6, region, 1
google.html.json,5,5,bypass, 1, label-title-only, 1, landmark-one-main, 1, page-has-heading-one, 1, region, 1
idealo.html.json,6,51,aria-allowed-role, 1, autocomplete-valid, 1, button-name, 12, color-contrast, 35, image-alt, 1, label, 1
ikea.html.json,2,3,image-alt, 2, region, 1
immobilienscout24.html.json,4,29,aria-allowed-role, 4, color-contrast, 23, page-has-heading-one, 1, region, 1
instagram.html.json,5,6,image-alt, 2, landmark-one-main, 1, meta-viewport-large, 1, page-has-heading-one, 1, region, 1
joyclub.html.json,6,21,checkboxgroup, 1, image-redundant-alt, 4, label, 13, landmark-one-main, 1, region, 1, skip-link, 1
kaufland.html.json,9,12,aria-allowed-role, 2, bypass, 1, checkboxgroup, 1, duplicate-id-aria, 3, html-has-lang, 1, landmark-one-main, 1, link-name, 1, page-has-heading-one, 1, region, 1
