PageTitle;No.ErrorTypes;ErrorsTotal;ErrorDetails
samsung.html.json;8;335;['aria-allowed-role', 98, 'aria-required-children', 1, 'checkboxgroup', 1, 'duplicate-id', 1, 'empty-heading', 5, 'image-alt', 6, 'listitem', 222, 'region', 1]
spiegel.html.json;4;111;['aria-allowed-role', 4, 'color-contrast', 105, 'frame-title', 1, 'meta-viewport', 1]
sport1.html.json;6;17;['bypass', 1, 'color-contrast', 12, 'landmark-one-main', 1, 'meta-viewport', 1, 'page-has-heading-one', 1, 'region', 1]
stackoverflow.html.json;8;16;['aria-allowed-role', 3, 'aria-required-parent', 1, 'color-contrast', 5, 'landmark-no-duplicate-banner', 1, 'landmark-one-main', 1, 'link-name', 1, 'listitem', 3, 'region', 1]
stern.html.json;3;3;['frame-title', 1, 'landmark-no-duplicate-banner', 1, 'region', 1]
sueddeutsche.html.json;6;45;['aria-allowed-role', 1, 'aria-valid-attr-value', 1, 'aria-valid-attr', 9, 'duplicate-id', 1, 'link-name', 32, 'page-has-heading-one', 1]
t-online.html.json;10;127;['aria-allowed-role', 3, 'aria-valid-attr-value', 1, 'button-name', 1, 'color-contrast', 86, 'duplicate-id-aria', 1, 'duplicate-id', 3, 'frame-title', 1, 'label', 3, 'link-name', 27, 'region', 1]
tagesschau.html.json;1;1;['region', 1]
teads.html.json;4;13;['aria-allowed-role', 1, 'image-alt', 9, 'link-name', 2, 'region', 1]
telekom.html.json;2;3;['label', 1, 'link-name', 2]
tiktok.html.json;3;3;['landmark-one-main', 1, 'meta-viewport', 1, 'region', 1]
tvspielfilm.html.json;4;6;['color-contrast', 3, 'label', 1, 'landmark-one-main', 1, 'region', 1]
twitch.html.json;4;4;['html-has-lang', 1, 'landmark-one-main', 1, 'page-has-heading-one', 1, 'region', 1]
twitter.html.json;6;17;['aria-allowed-role', 10, 'aria-required-attr', 1, 'color-contrast', 3, 'meta-viewport', 1, 'page-has-heading-one', 1, 'region', 1]
tz.html.json;4;10;['aria-allowed-role', 3, 'duplicate-id', 1, 'frame-title', 1, 'link-name', 5]
vodafone.html.json;8;23;['aria-allowed-role', 3, 'button-name', 2, 'heading-order', 1, 'landmark-contentinfo-is-top-level', 1, 'landmark-no-duplicate-contentinfo', 1, 'link-name', 13, 'list', 1, 'region', 1]
weather.html.json;6;10;['aria-allowed-role', 2, 'color-contrast', 4, 'label', 1, 'landmark-main-is-top-level', 1, 'landmark-one-main', 1, 'region', 1]
web.html.json;8;27;['button-name', 2, 'bypass', 1, 'color-contrast', 19, 'label', 1, 'landmark-one-main', 1, 'link-name', 1, 'page-has-heading-one', 1, 'region', 1]
wetter.html.json;7;9;['autocomplete-valid', 1, 'heading-order', 1, 'label', 1, 'landmark-contentinfo-is-top-level', 1, 'landmark-no-duplicate-contentinfo', 1, 'region', 1, 'tabindex', 3]
wetteronline.html.json;10;76;['area-alt', 61, 'button-name', 1, 'color-contrast', 1, 'frame-title', 1, 'image-alt', 6, 'label', 1, 'landmark-one-main', 1, 'list', 1, 'region', 1, 'tabindex', 2]
whatsapp.html.json;4;20;['color-contrast', 17, 'label', 1, 'landmark-one-main', 1, 'region', 1]
wikipedia.html.json;6;7;['autocomplete-valid', 1, 'bypass', 1, 'label', 2, 'landmark-one-main', 1, 'page-has-heading-one', 1, 'region', 1]
wunderweib.html.json;1;1;['meta-viewport', 1]
xhamster.html.json;7;51;['color-contrast', 5, 'frame-title', 1, 'heading-order', 1, 'image-alt', 1, 'label', 1, 'link-name', 41, 'region', 1]
xvideos.html.json;6;176;['bypass', 1, 'color-contrast', 68, 'landmark-one-main', 1, 'link-name', 104, 'page-has-heading-one', 1, 'region', 1]
yahoo.html.json;6;45;['aria-allowed-role', 3, 'color-contrast', 28, 'label', 3, 'landmark-banner-is-top-level', 1, 'landmark-no-duplicate-banner', 1, 'listitem', 9]
youporn.html.json;4;33;['color-contrast', 30, 'landmark-one-main', 1, 'link-name', 1, 'region', 1]
zdf.html.json;5;106;['aria-allowed-role', 2, 'color-contrast', 78, 'definition-list', 24, 'image-alt', 1, 'region', 1]
zeit.html.json;3;102;['color-contrast', 93, 'duplicate-id', 1, 'link-name', 8]
